sample_id,region,PF,R_ohm,L_H,fsw_Hz,StopTime_s,analysisWindow_s,Vout_rms_V,Vout_fund_rms_V,Vout_THD_fft_pct,THD_block_pct,THD_used_pct,Vout_error_pct,Vout_valid_2pct,Irms_A,IL_rms_A,IL_ripple_rms_A,IL_ripple_rms_pct_of_Irms,Pac_W,Pdc_W,Psw_4mos_W,Pcond_4mos_W,Pmos_total_4mos_W,R_L_filter_ohm,P_L_filter_W,eta_total_mosfet_pct,eta_with_filter_pct,Tj_final_C,Good_condition,Strict_condition
1,R5_R6_all_known_frequencies,0.6,5,0.0212206590789194,2000,0.25,0.2,202.507068013193,201.017624173447,3.3495389373863,7.95807995390888,7.95807995390888,8.62835264843311,0,23.3896961210149,25.0769118673738,10.7401035811833,45.9180979762011,2916.76225654202,3026.80267513887,6.22221313986565,48.1718345101569,54.3940476500226,0.012,7.54621810564838,98.169263341236,97.9205622148568,25.520874333397,0,0
2,R5_R6_all_known_frequencies,0.6,5,0.0212206590789194,6000,0.25,0.2,216.417151888357,216.414237484256,0.597143290312489,1.44735920245676,1.44735920245676,1.62989205261095,1,25.1138229831915,24.6040423130804,3.42574883162548,13.6408894572456,3368.66983164394,3455.93840584735,10.9920698577426,45.2571498214438,56.2492196791864,0.012,7.26430677772621,98.3576482002558,98.1494716385998,25.5451394071925,1,0
3,R5_R6_all_known_frequencies,0.6,5,0.0212206590789194,10000,0.25,0.2,217.136212492694,217.107564444814,0.420016979516997,1.33728951031926,1.33728951031926,1.31474343417546,1,25.2255409047083,24.6025819830002,2.76400776359312,10.95717936846,3394.72420817712,3477.01966133905,14.7251383292949,44.5940122029019,59.3191505321968,0.012,7.26344448276298,98.2826170846227,98.0763740748565,25.5760401304545,1,0
4,R5_R6_all_known_frequencies,0.6,5,0.0212206590789194,12000,0.25,0.2,217.687951624809,217.686974445713,0.271953404197162,0.989901672808511,0.989901672808511,1.05137525194882,1,25.2696802300892,24.6697805583803,2.8077621986692,11.111190062967,3411.34080623266,3496.05693156414,14.5872425698471,45.4483820038591,60.0356245737063,0.012,7.30317687358368,98.270552739803,98.0642424988313,25.5826779833553,1,1
5,R5_R6_all_known_frequencies,0.6,5,0.0212206590789194,14000,0.25,0.2,217.934979137414,217.941934702121,0.227500124624025,0.646553523709701,0.646553523709701,0.935484226308848,1,25.3075748753275,24.6390767783592,2.23357410074462,8.82571369144558,3420.88602050383,3501.55691929238,15.8217537898978,44.8971079385872,60.718861728485,0.012,7.28500925387854,98.2560094042161,98.050845022415,25.5914917425936,1,1
6,R5_R6_all_known_frequencies,0.6,5,0.0212206590789194,16000,0.25,0.2,218.359933570992,218.337667880585,0.134488223042526,0.48529108422004,0.48529108422004,0.75560550882478,1,25.3555784901329,24.6473241153578,1.73844449703744,6.85626043875888,3433.39367222033,3510.71583178738,18.3405429916185,45.4117301087572,63.7522731003757,0.012,7.28988703256999,98.1770199443441,97.9727932388695,25.6159137260435,1,1
7,R5_R6_all_known_frequencies,0.6,5,0.0212206590789194,17000,0.25,0.2,218.355668707923,218.401421353759,0.10464513123713,0.662119386757019,0.662119386757019,0.726626657382445,1,25.3526353466999,24.6594832233966,1.9094191619163,7.53144253370427,3432.8156006177,3511.27945313344,19.2014288102445,45.0001912943523,64.2016201045968,0.012,7.29708135413977,98.1641034043482,97.9596949561182,25.6226994146429,1,1
8,R5_R6_all_known_frequencies,0.6,5,0.0212206590789194,18000,0.25,0.2,216.150251490107,216.137040483188,0.660764581819819,1.83369547527831,1.83369547527831,1.75589068945979,1,25.1576198862233,24.5505697508382,3.26385346607505,12.9736178574762,3368.84782075301,3452.43114944707,20.1290441812606,44.4791458273231,64.6081900085837,0.012,7.23276570108924,98.1182752944532,97.912018192371,25.6272185829433,1,0
9,R5_R6_all_known_frequencies,0.6,5,0.0212206590789194,19000,0.25,0.2,215.291086811072,215.178339579819,0.877326575568669,2.17351549141573,2.17351549141573,2.19166382735496,0,25.0354150166712,24.492815706398,3.54878125147162,14.1750446282136,3341.2646526825,3426.07793980368,20.8203487504154,44.1195586825561,64.9399074329716,0.012,7.19877625473093,98.0934818714831,97.8866053443185,25.6318877257678,0,0
10,R5_R6_all_known_frequencies,0.6,5,0.0212206590789194,20000,0.25,0.2,216.918702158997,217.075909834375,0.34964844937659,0.585570959587492,0.585570959587492,1.32913189346584,1,25.145438088325,24.5700418094881,2.71677845573692,10.804259787378,3392.37575946461,3473.70360373757,22.5433386711922,44.4651312888944,67.0084699600866,0.012,7.24424345423994,98.0629942927378,97.8580712067866,25.6474330287245,1,1
11,R5_R6_all_known_frequencies,0.6,5,0.0212206590789194,22000,0.25,0.2,217.902366944878,217.808924485057,0.278799586734316,0.61117879698356,0.61117879698356,0.995943415883328,1,25.3182668071493,24.5985990148742,1.79464608310486,7.08834493598944,3418.78528853264,3494.91059075931,23.8459548547948,44.3492786472928,68.1952335020875,0.012,7.26109288193483,98.0442898068644,97.840552122615,25.6612374298788,1,1
